id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,new_status,new_compiles,new_files,new_secs
checkstyle-0001,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocVariableCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck#getAcceptableTokens()",crash,na,0,6.9,crash,na,0,10.2
checkstyle-0002,checkstyle,com/puppycrawl/tools/checkstyle/checks/DescendantTokenCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck#setMaximumNumber(int)",ok,compiles,7,11.0,ok,compiles,7,14.1
checkstyle-0003,checkstyle,com/puppycrawl/tools/checkstyle/JavaAstVisitor.java,method,"com.puppycrawl.tools.checkstyle.JavaAstVisitor#processChildren(DetailAstImpl,List<?extendsParseTree>)",crash,na,0,11.4,crash,na,0,13.7
checkstyle-0004,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/CaseHandler.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.CaseHandler#getSuggestedChildIndent(AbstractExpressionHandler)",ok,compiles,3,13.9,ok,compiles,3,13.3
checkstyle-0005,checkstyle,com/puppycrawl/tools/checkstyle/checks/TranslationCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.TranslationCheck#requiredTranslations",ok,compiles,8,13.7,ok,compiles,8,13.4
checkstyle-0006,checkstyle,com/puppycrawl/tools/checkstyle/Checker.java,method,"com.puppycrawl.tools.checkstyle.Checker#processFile(File)",crash,na,0,10.3,crash,na,0,9.7
checkstyle-0007,checkstyle,com/puppycrawl/tools/checkstyle/gui/TreeTableCellRenderer.java,field,"com.puppycrawl.tools.checkstyle.gui.TreeTableCellRenderer#treeTable",ok,compiles,2,13.6,ok,compiles,2,13.2
checkstyle-0008,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/MethodCallHandler.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.MethodCallHandler#checkRparenIndent(DetailAST,DetailAST)",ok,compiles,4,13.9,ok,compiles,4,12.7
checkstyle-0009,checkstyle,com/puppycrawl/tools/checkstyle/ConfigurationLoader.java,field,"com.puppycrawl.tools.checkstyle.ConfigurationLoader.InternalLoader#KEY",ok,compiles,2,12.9,ok,compiles,2,12.4
checkstyle-0010,checkstyle,com/puppycrawl/tools/checkstyle/checks/AvoidEscapedUnicodeCharactersCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheck#allowIfAllCharactersEscaped",ok,compiles,7,12.6,ok,compiles,7,12.4
checkstyle-0011,checkstyle,com/puppycrawl/tools/checkstyle/checks/annotation/MissingOverrideCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.annotation.MissingOverrideCheck#MSG_KEY_ANNOTATION_MISSING_OVERRIDE",ok,compiles,7,11.6,ok,compiles,7,11.8
checkstyle-0012,checkstyle,com/puppycrawl/tools/checkstyle/checks/blocks/NeedBracesCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck#NeedBracesCheck()",ok,compiles,7,11.6,ok,compiles,7,12.8
checkstyle-0013,checkstyle,com/puppycrawl/tools/checkstyle/gui/TreeTableModelAdapter.java,method,"com.puppycrawl.tools.checkstyle.gui.TreeTableModelAdapter.UpdatingTreeExpansionListener#UpdatingTreeExpansionListener()",ok,compiles,1,11.7,ok,compiles,1,12.3
checkstyle-0014,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/DetailAstSet.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.DetailAstSet#lastLine()",ok,compiles,2,12.9,ok,compiles,2,12.9
checkstyle-0015,checkstyle,com/puppycrawl/tools/checkstyle/checks/OuterTypeFilenameCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.OuterTypeFilenameCheck#wrongType",ok,compiles,8,13.8,ok,compiles,8,13.4
checkstyle-0016,checkstyle,com/puppycrawl/tools/checkstyle/checks/whitespace/TypecastParenPadCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.whitespace.TypecastParenPadCheck#TypecastParenPadCheck()",ok,compiles,8,12.7,ok,compiles,8,13.8
checkstyle-0017,checkstyle,com/puppycrawl/tools/checkstyle/checks/blocks/EmptyCatchBlockCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.blocks.EmptyCatchBlockCheck#LINE_END_PATTERN",ok,compiles,7,11.5,ok,compiles,7,11.9
checkstyle-0018,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/SimplifyBooleanReturnCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanReturnCheck#getAcceptableTokens()",crash,na,0,11.1,crash,na,0,11.7
checkstyle-0019,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocVariableCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck#accessModifiers",ok,compiles,8,13.7,ok,compiles,8,12.7
checkstyle-0020,checkstyle,com/puppycrawl/tools/checkstyle/checks/design/FinalClassCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck.ClassDesc#registerNestedSubclass()",ok,compiles,7,12.4,ok,compiles,7,12.0
checkstyle-0021,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/IndentLevel.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.IndentLevel#IndentLevel(int)",ok,compiles,1,10.8,ok,compiles,1,9.7
checkstyle-0022,checkstyle,com/puppycrawl/tools/checkstyle/JavaAstVisitor.java,field,"com.puppycrawl.tools.checkstyle.JavaAstVisitor.DetailAstPair#root",ok,compiles,4,12.8,ok,compiles,4,12.3
checkstyle-0023,checkstyle,com/puppycrawl/tools/checkstyle/api/BeforeExecutionFileFilterSet.java,method,"com.puppycrawl.tools.checkstyle.api.BeforeExecutionFileFilterSet#BeforeExecutionFileFilterSet()",ok,compiles,2,12.7,ok,compiles,2,12.7
checkstyle-0024,checkstyle,com/puppycrawl/tools/checkstyle/XMLLogger.java,method,"com.puppycrawl.tools.checkstyle.XMLLogger.FileMessages#FileMessages()",ok,compiles,5,11.2,ok,compiles,5,11.7
checkstyle-0025,checkstyle,com/puppycrawl/tools/checkstyle/PackageObjectFactory.java,method,"com.puppycrawl.tools.checkstyle.PackageObjectFactory#fillChecksFromModifierPackage()",ok,compiles,2,12.4,ok,compiles,2,12.6
checkstyle-0026,checkstyle,com/puppycrawl/tools/checkstyle/JavaAstVisitor.java,method,"com.puppycrawl.tools.checkstyle.JavaAstVisitor#visitTypeArgs(JavaLanguageParser.TypeArgsContext)",ok,compiles,6,12.1,ok,compiles,6,12.5
checkstyle-0027,checkstyle,com/puppycrawl/tools/checkstyle/checks/sizes/LambdaBodyLengthCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.sizes.LambdaBodyLengthCheck#MSG_KEY",ok,compiles,7,12.3,ok,compiles,7,13.0
checkstyle-0028,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/UnnecessarySemicolonInEnumerationCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.UnnecessarySemicolonInEnumerationCheck#UnnecessarySemicolonInEnumerationCheck()",ok,compiles,7,13.1,ok,compiles,7,13.6
checkstyle-0029,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocLeadingAsteriskAlignCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocLeadingAsteriskAlignCheck#getColumnNumberTabsExpanded(DetailNode)",ok,compiles,10,15.0,ok,compiles,10,14.3
checkstyle-0030,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/ExplicitInitializationCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck#getRequiredTokens()",crash,na,0,11.4,crash,na,0,12.7
checkstyle-0031,checkstyle,com/puppycrawl/tools/checkstyle/xpath/iterators/PrecedingIterator.java,method,"com.puppycrawl.tools.checkstyle.xpath.iterators.PrecedingIterator#PrecedingIterator(NodeInfo)",ok,compiles,6,13.8,ok,compiles,6,12.6
checkstyle-0032,checkstyle,com/puppycrawl/tools/checkstyle/api/FilterSet.java,method,"com.puppycrawl.tools.checkstyle.api.FilterSet#clear()",ok,compiles,2,10.4,ok,compiles,2,9.9
checkstyle-0033,checkstyle,com/puppycrawl/tools/checkstyle/checks/metrics/ClassFanOutComplexityCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheck#ClassFanOutComplexityCheck()",ok,compiles,8,12.0,ok,compiles,8,12.1
