id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,base_hash,new_status,new_compiles,new_files,new_secs,new_hash
checkstyle-0001,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/FinalLocalVariableCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck#removeFinalVariableCandidateFromStack(DetailAST)",ok,compiles,8,15.0,50f1a0e6528f,ok,compiles,8,26.0,50f1a0e6528f
checkstyle-0002,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/AvoidStaticImportCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.imports.AvoidStaticImportCheck#isExempt(String)",ok,compiles,7,17.7,fed266485130,ok,compiles,7,22.6,fed266485130
checkstyle-0003,checkstyle,com/puppycrawl/tools/checkstyle/checks/regexp/RegexpSinglelineJavaCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.regexp.RegexpSinglelineJavaCheck#MSG_REGEXP_EXCEEDED",ok,compiles,7,20.7,21aaec2cb519,ok,compiles,7,23.2,21aaec2cb519
checkstyle-0004,checkstyle,com/puppycrawl/tools/checkstyle/utils/CheckUtil.java,method,"com.puppycrawl.tools.checkstyle.utils.CheckUtil#getSmallestIndent(Collection<String>)",ok,compiles,2,19.8,b1782fcf6334,ok,compiles,2,23.7,b1782fcf6334
checkstyle-0005,checkstyle,com/puppycrawl/tools/checkstyle/site/SearchIndexGenerator.java,field,"com.puppycrawl.tools.checkstyle.site.SearchIndexGenerator#SPACE",ok,compiles,1,20.1,285db01f00d4,ok,compiles,1,24.1,285db01f00d4
checkstyle-0006,checkstyle,com/puppycrawl/tools/checkstyle/checks/metrics/ClassFanOutComplexityCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheck#setExcludedClasses(String...)",ok,compiles,8,23.5,5b5741d648ab,ok,compiles,8,24.5,5b5741d648ab
checkstyle-0007,checkstyle,com/puppycrawl/tools/checkstyle/checks/NoCodeInFileCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.NoCodeInFileCheck#finishTree(DetailAST)",ok,compiles,8,22.2,0b757337ac63,ok,compiles,8,20.3,0b757337ac63
checkstyle-0008,checkstyle,com/puppycrawl/tools/checkstyle/checks/metrics/JavaNCSSCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.metrics.JavaNCSSCheck#setClassMaximum(int)",ok,compiles,7,23.1,ef9618704ea5,ok,compiles,7,20.5,ef9618704ea5
checkstyle-0009,checkstyle,com/puppycrawl/tools/checkstyle/checks/header/MultiFileRegexpHeaderCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.header.MultiFileRegexpHeaderCheck#MSG_HEADER_MISMATCH",ok,compiles,9,23.2,418a640b0213,ok,compiles,9,21.2,418a640b0213
checkstyle-0010,checkstyle,com/puppycrawl/tools/checkstyle/checks/regexp/MultilineDetector.java,field,"com.puppycrawl.tools.checkstyle.checks.regexp.MultilineDetector#emptyMessage",ok,compiles,1,21.8,2e15a1674378,ok,compiles,1,20.2,2e15a1674378
checkstyle-0011,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocContentLocationCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocContentLocationCheck#MSG_JAVADOC_CONTENT_FIRST_LINE",ok,compiles,7,23.5,f611549eb6ce,ok,compiles,7,23.7,f611549eb6ce
checkstyle-0012,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocTag.java,field,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTag#lineNo",ok,compiles,1,18.7,285177ac908d,ok,compiles,1,19.8,285177ac908d
checkstyle-0013,checkstyle,com/puppycrawl/tools/checkstyle/JavadocCommentsAstVisitor.java,method,"com.puppycrawl.tools.checkstyle.JavadocCommentsAstVisitor#create(Token)",ok,compiles,8,24.0,71a669a9f0ae,ok,compiles,8,23.9,71a669a9f0ae
